ásaga,si lo busca
ásiga,buscándolo
ay,lo buscaba
abé,hoy
abé huauú ucuri,hoy llovió mucho
abijí,todavía - aún
aboni,ellos - ellas
acá,cara - nariz
binoy acara,su cara
binoy acárachi,en su cara
acá vi,tener sal - está dulce o sabroso
acá ,huarache
acará,poner huaraches
acarapta,quitar huaraches
acá,embotarse - quitarse (filo)
acáami,salado - dulce
acáanami,Sano de  pie o de brazo
acabó,hoyo de la nariz
acáchura,abuela paterna
acajihua,correa
acami,estar vivo
acaná, boca abajo
acará,herrar - rostro
acha,¿acaso?
acha gará ju?,¿estás bien?
achá,poner
achagó,mata espinosa
aché,atiesarse - morirse de frio
achí,reir - sonreir
achíami,risueño
achigó yiri ju,es igual
achigórigá,de la misma manera
achíptiami,cómico
achó,iguales
agá,dándole
agásane,bilis
ahuá,cuerno
a'huá,tragar
a'huánami,ligeros
ahué,asar
ahuérami,asado
a'hué,águila
ahuí,bailar
a'huí,brotar - germinar (semillas)
ahuínari,solos
a'huínari,aparte
ajó,desgranar maíz
ajo,mosquito - zancudo
amá,hígado
huáasi amará,hígado de vaca
amachí,rezar
amarú,estar entero
amí,buscar
amígohua,amigo
aná,de otro modo
aná,ala- aleta
a'nabáa,juntarse
anacha,aguantar
anachapa,aletear
a'nagú,por los dos lados
a'nagupi,mutuamente - unos a otros
anahui,medir - pesar
a'nahuí,al mismo tiempo
a'najata,perseguir
a'namótami,uno encima de otro
anara,igualar
ané,decir
anebi,le hubiéramos dicho
anemi,le hubiera dicho
aní,decir
anihuáami,querer decir
anirá,decir (futuro)
aniríhuami,nombrado
aorí,táscate
apanérohua,compañero
aparúami,Bravo - cruel - feroz - valiente
apé,echar a la espalda
apurá,hacer olas (en el agua)
aqué,nadar
aquibi,desaparecer
arara,arado
arí,tarde
jipi arí,hoy en la tarde - enseguida
arí biché ,entonces
ariché,tardar - dilatar
arigá,a pesar de- de todos modos
arihua,atardecer
arihuá,alma
arihué,dejar
a' rínamorí,al poco rato
ariósibá,adios
arirí,!ay!
aró,marchitarse
asahua,sacudir
asé,montar (un animal)
así,también
asibá,siéntate
asiba,sentarse
asisi,levantarse
atá,arco
atahuépata,podar
atí,estar sentado
atisi,estornudar
auché,otro
a' yapi,uno tras otro
auchecho,otra vez
ayena,sí
ayena cho,también - aún
ayénasí,sí también
ba'arí,mañana
ba'ari piché,hasta mañana
ba'arínara,al siguiente día
bacahúa,hoja de la marzocra
bacamú,infectarse
bacarí,tener enfermedad venérea
bacó,ponerse amarillo
bachochi,río
bacúu,palo
bachá,primeramente - adelante - enfrente
bachá simí,avanza - precede
bacháami,ante - delante - enfrente de
bachagochi,hueso del tobillo
bachahuara,ir adelante
bachéi,tener hermano mayor
bachí,hermano mayor
bachí,calabaza
bachima,rociar
ba'hue,hay agua
ba'huí,aguantar
ba'huí bají,toma agua
ba'huira,jugo - caldo
baisá,tercero
baisá macoy,treinta
bajácami,hinchado
baji,tomar - beber
bajíami,curandero
bajíbachami,hinchado por desnutricion
bajicháhuari,norte
bajichi,pozo
bahpuhuami,potable
bajina,hincharse
bajuhua,ir a tomar
bamíbari,año
baná,mejilla
banagé,lama - moho
banira,arrastrar - llevar jalando
baquí,entrar 
bará,tiempo de lluvia
baquirini,padrino - madrina
baraché,tener sed
ba'raguéchuri,huérfano
baré,cura
basachí,coyote
basi,taza - vaso
basigó,lavarse la cara
basoná,pato
basoná,derretir
basori,pozole
basú,cocer - hervir
batari,tesguino
batú,moler en metate
batú,mapache
batusí,masa
bayé,llamar
bayeba,guiar - llevar
bayera,invitar
ba'yó,estar bonito
ba'yoami,bello - hermoso - lindo
bicá,pudrir
ba'yori,gustar
bicajuca,oler mal
bicamú,salir pus
biché,entonces
bachihuá,verdad
bichíhuaga,jurar- prometer
bichíhuami,Verdadero
bi'huá,limpiar
bihuárami,limpiarse
bihuara,hacer duro
bi'líami,chueco - torcido
bimó,neblina - polvo
binéami,estudiante
binéami,aprender - estudiar
binériami,maestro
bi'néripi,único
biní,hermana menor
binoy,el - ella - el mismo
biquiyá,tres
biré,uno
biré ciento,cien
biréana,en una sola parte
birina,pedernal
bi'rina,torcer - exprimir
bisiruta,rasparse
bisú,despellejar
bité,habitar - vivir
¿cumi bité?,preg. donde vives
biteba,pasar la noche
bitechi,casa
bití,estar acostados
bitichí,casa - habitfación
bitori,plato - cazuela
bi'yá,temprano
bocuírachi,cascada
bo'na,arrancar hierba
boní,hermano menor
bonorí,anzuelo
bo'obu,desplumar
borogá,amarrado
bosá,llenarse comiendo
bot'a,soltarse - desatarse
botobú,hundir - sumergir
bucurí,hace poco
buchí,contener
ocuá litro buchí,contiene dos litros
buchíami,lleno
bucuríhuami,nuevo - fresco
buhué,camino
bubuigá,estar esperando
bujé,cobrar - quitar algo
buná,agacharse - inclinarse
buqúé,tener - poseer (animal)
buré,amarrar
burito,burro
¿cum burú?,preg. dónde está el camino
busí,ojo
busugachi,ciego
busurébana,despertar
buyana,enfermar de viruela
ca,llevar en la mano
cabítana,rodar - envolver
cabóchi,músuclo de pierna o brazo
cabu,preg. cuándo
cachagá,cadera
cachí,reirse
cachuna,arrugar
ca'huá,poner hueos
cahué,caballo
cahuí,monte - terreno
cahuíami,claro - limpio (cielo)
cahuisori,cobija
cajé,café
cajuina,derribar
ca'marota,ampollarse
cameri,sería bueno
cami,extraordinario
ca'mocha,hincharse la cara
banachí ca'móchari,se le hinzó la mejilla
campori,tambor
ca'muchí,maiz para palomitas
canápuromí,en muchas parte
canira,alegrarse
caniri,estar feliz - contento
capaneri,campana
capitani,capitán
carí,casa
capona,quebrar
cárabá,por nada
cáraca,completamente
caré,parecerse
caré,amar - querer
caréami,amable
cari ju,es todo
carichí,en la casa
carihuérami,listo - arreglado
ca'rina,quebrar
ca'rígami,quebrado
casí,pierna - muslo
casibacha,pantalón - calzón
catehua,alzar - guardar
cobata,enchilar a otra persona
cobisi,pinole
coché,ahogarse
catá,arco
casuna,bajar del monte
cochí,perro
cayena,terminar - levantar
cochí,hermana mayor
cochí,dormir
cochi,marrano
cochinari,tener sueño
Echirigá ju,así es
cóami,picante
cochírahua,ceja
cohua,dar de comer
co'huá,comer
co'huáami,alimento - comida
co'ué,comer mucho
co'huí,matar- asesinar
comichi,arroyo
comurachi,cárcel
coná,tostar
coná,sal (condimento)
cónahua,donar- regalar
co'nari,tener hambre
cor,obsequiar- regalar
conomí,arcoiris
cóo,dar de comer
cora,obsequiar- regalar
corá,frente (cabeza)
corácami,amargo
coraca,picante
corachi ,cuervo
corí,chile
córima,regalar
corimena,miel de abeja
corochi,saltamontes
corogá,collar
ocorú,codiciar - desear mucho
corúcami,envidioso - codicioso
cosibera,banca
cotúura,dar comida
co'yacha,sombrero
coyera,paño para cabeza
cu,otra vez
cu,leña - madera
cúchara,hijos
cúchuhua,tener hijos
cohuana,tostar
cohuana,al otro lado - detrás
cuhué,tiempo de calor
co'huira,"ayudar, salvar"
